Country,Rank,Documents,Citable documents,Citations,Self-citations,Citations per document,H index,Energy Supply,Energy Supply per Capita,% Renewable's,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China,1,360468,358777,3947871,2705774,10.95,308,127191000000.0,93.0,19.75491,9570470577244.86,10475624783235.6,11061573199439.7,11233314018690.1,12310491176727.3,13894907485398.9,14279968485748.0,14687743556969.6,17820459342451.2,17963170521079.8
United States,2,199442,195042,3068926,881789,15.39,422,90838000000.0,286.0,11.57098,16843190993000.0,17550680174000.0,18206020741000.0,18695110842000.0,19477336549000.0,20533057312000.0,21380976119000.0,21060473613000.0,23315080560000.0,25462700000000.0
India,3,76103,74167,760964,280893,10.0,217,33195000000.0,26.0,14.96908,1856721494834.64,2039126469963.35,2103588347241.77,2294796889945.04,2651474263257.15,2702929639861.5,2835606242052.48,2671595389575.7,3150306834279.65,3385089881935.39
Japan,4,56249,55680,633294,136132,11.26,217,18984000000.0,149.0,10.23282,5212328181166.18,4896994405353.29,4444930651964.18,5003677627544.24,4930837369151.42,5040880939324.86,5117993853016.51,5048789595589.43,5005536736792.29,4231141201863.17
United Kingdom,5,52572,51156,909276,151672,17.3,267,7920000000.0,124.0,10.60047,2786315215249.95,3065223279583.79,2934857946213.47,2699659680997.2,2683488510504.04,2878152147315.82,2857057847953.02,2704609160088.15,3122480345924.54,3070667732359.21
Germany,6,47781,46767,641717,133693,13.43,230,13261000000.0,165.0,17.90153,3733804649549.06,3889093051023.45,3357585719351.56,3469853463945.63,3690849152517.69,3974443355019.53,3888226035921.49,3889668895299.56,4259934911821.64,4072191736089.51
Russian Federation,7,43567,43290,175721,79765,4.03,103,30709000000.0,214.0,17.28868,2292470104248.18,2059241582146.11,1363482179761.17,1276786344534.27,1574199355092.71,1657328764645.93,1693114993990.49,1493075887459.81,1836892075547.52,2240422438363.27
Canada,8,39036,38276,787010,125333,20.16,263,10431000000.0,296.0,61.94543,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1725297938435.76,1743725183672.52,1647598402302.68,2001486745423.92,2139840023673.81
Italy,9,35991,34424,529459,123042,14.71,192,6530000000.0,109.0,33.66723,2141924094298.57,2162009615996.51,1836637711060.55,1877071687633.83,1961796197354.37,2091932426266.94,2011302198827.41,1897210466667.52,2114355756913.92,2010431598465.38
South Korea,10,35294,35005,503147,87529,14.26,182,11007000000.0,221.0,2.279353,1370795199976.18,1484318219633.63,1465773245547.15,1500111596236.37,1623901496835.79,1724845615629.26,1651422932447.77,1644312785467.12,1810955871380.98,1665245538594.96
Iran,11,29776,29448,511199,150489,17.17,179,9172000000.0,119.0,5.707721,492775566435.176,460382791488.626,408212917871.725,457954614595.24,486630147094.69,327900695065.853,283649531542.631,239735486745.704,359096907772.985,388544468139.733
France,12,29351,28759,471469,79375,16.06,205,10597000000.0,166.0,17.02028,2811876903329.05,2855964488590.14,2439188643162.5,2472964344587.23,2595151045197.67,2790956878746.61,2728870246705.83,2639008701648.21,2957879759263.52,2782905325624.52
Spain,13,27880,27272,515485,88803,18.49,202,4923000000.0,106.0,37.96859,1355579535912.56,1371820537888.6,1196156971279.69,1233554967011.71,1313245330197.66,1421702715218.01,1394320055129.38,1276962685648.23,1427380681294.55,1397509272054.48
Australia,14,25906,25237,495278,72475,19.12,212,5386000000.0,231.0,11.81081,1576329690003.93,1467589901175.46,1350580336316.75,1206562910556.58,1326467487376.42,1428266513154.48,1392218527563.26,1326944627876.87,1552703151616.01,1675418665067.09
Brazil,15,25887,25493,260540,60487,10.06,145,12149000000.0,59.0,69.64803,2472819362259.0,2456043766063.5,1802211999555.59,1795693265824.27,2063514688761.67,1916933708404.16,1873288159000.64,1476107292036.59,1649622972159.35,1920095560995.06
